,Random Walk_RMSE,Random Walk_MASE,Mean Estimator_RMSE,Mean Estimator_MASE,Moving Avg Estimator: (h=1)_RMSE,Moving Avg Estimator: (h=1)_MASE,RMSE avg,RMSE std,MASE avg,MASE std
window_1_0,370.5339684499606,1.0042518912186886,383.83748333633326,1.0001436468720206,163.03917885594294,0.21007879925742368,305.8035435474123,123.81637107588853,0.7381581124493777,0.4573347135128355
window_1_1,379.80620821144026,1.0145677832857558,396.9172041631169,0.9999496946120364,203.60856318259383,0.2313546465642852,326.77732518571696,107.00983363995606,0.7486240414873592,0.4480280597486953
window_1_2,430.62401152301004,1.0555139696019398,427.997370646481,0.9997724186416347,231.32478425269912,0.2925376259284125,363.3153888073967,114.31476098303965,0.7826080047239956,0.42532753526605804
window_1_3,482.76261551978706,1.0009508259708975,474.1480534329486,0.9995134968603873,243.01242474202255,0.263357514170517,399.9743645649194,136.00125214391232,0.7546072790006005,0.42543538294663774
window_1_4,418.7349640905168,1.1581797307986275,414.8609409933198,0.9999908275843217,269.8041862384943,0.39056379208285985,367.800030440777,84.88899295213689,0.8495781168219363,0.4053104304256048
window_1_5,403.431274889327,1.0695277916248735,398.31609369771695,1.0000366616243828,170.80479814192265,0.21517238489407559,324.18405557632224,132.8549537202193,0.7615789460477774,0.4744758706626152
window_1_6,389.20363757964464,1.083352678893825,390.76663538735335,1.0003632361971446,197.58429516835068,0.245437356799756,325.8515227117829,111.08542652749588,0.7763844239635752,0.46168214498415716
window_1_7,445.76654617637854,0.9808823712550973,457.8274998540418,1.0001776517876435,225.92750328305047,0.23784274156430993,376.50718310449025,130.5451900004331,0.739634254869017,0.4346712770372323
window_1_8,430.6039073784319,1.1247223616476518,424.88116205588744,0.9997140597313338,237.7184637639736,0.3277349998767254,364.4011777327643,109.7477560926897,0.8173904737519037,0.42863577919831236
window_1_9,444.81778563036806,1.0420571808666894,441.9258214440474,1.000453762935236,257.6525452221093,0.3024174397416996,381.4653840988415,107.23481322429993,0.7816427945145418,0.4155423162431981
window_1_10,425.51033350382505,1.102971085954321,427.69408615502846,1.0004053047928352,255.0530306116132,0.3268846202259479,369.4191500901556,99.04998312642755,0.8100870036577014,0.4215961840219998
window_1_11,364.1637599993807,1.1559878290916956,351.94038444843767,0.9999307171211169,147.36086520907116,0.2051964573469453,287.8216698856299,121.79606301212952,0.7870383345199192,0.5098955119171741
window_1_12,305.0220766250352,1.1191612667591284,295.6677516351447,0.9998046970312265,138.48637810762918,0.18651030572679664,246.3920687892697,93.56604303974565,0.7684920898390505,0.5075318664509298
window_1_13,416.2195645067185,0.9521829445727696,439.39525622782287,0.9998580422861385,180.46106152435223,0.19107291808572813,345.3586274196312,143.27485334254862,0.714371301648212,0.4538161824073997
window_1_14,485.1700961567272,1.005318846143391,484.63633764701865,1.0001234067981957,286.87613051175674,0.3127525872825423,418.89418810516753,114.33130311769177,0.772731613408043,0.3983619917914113
window_10_0,353.8606847675025,0.9996793337466576,365.56356667585965,1.0001418185853586,114.18862243048159,0.16725548792705594,277.87095795794795,141.87378046712783,0.7223588800863574,0.4807336949529634
window_10_1,354.37266409656604,1.0009697616642992,370.6189719968113,0.9999472178099621,145.14930285099496,0.1861431497956086,290.0469796481241,125.747716424599,0.7290200430899567,0.47014545871854996
window_10_2,391.1847462367475,1.02842114609937,394.33151845688667,0.9997998239593198,161.05116439156558,0.23112661188246272,315.52247636173325,133.78533256747545,0.7531158606470507,0.4522824083353512
window_10_3,446.0199165000977,0.9844134738178286,440.56289299655475,0.9994771199573944,167.8191334562569,0.20492582048684252,351.46731431763646,159.06739303405345,0.7296054714206885,0.4544483253757256
window_10_4,367.88810600685554,1.131043782392388,367.32643569180874,1.0000259405999277,187.77129867962122,0.31514871060938004,307.66194679276185,103.82872674326397,0.8154061445338986,0.4381604088282584
window_10_5,379.26884736996095,1.0537610857731041,378.59449144727256,1.000031838131165,119.43437813691678,0.17061887584898477,292.43257231805006,149.82121038567084,0.7414705999177512,0.49510148067568394
window_10_6,367.232359570764,1.0838390606967165,363.85602811327146,1.0004141980010985,137.13119457189865,0.19360867045160093,289.4065274186447,131.88511155061508,0.7592873097164721,0.4916646917558376
window_10_7,412.32090390371434,0.9680806853883003,426.2580733463098,1.0001457906729203,150.69679637258855,0.18037419224131032,329.75859120753756,155.2285603558602,0.7162002227675104,0.4643158343049767
