,MAE,RMSE,MAPE,sMAPE,MASE,MASE1,MEAN_ASE,RMSE avg,RMSE std
window_1_0,54.046242336973556,154.21104549974876,45.151779047590026,19.641563626971287,0.2272516005890491,169.59652,0.18340705784503597,154.21104549974876,
window_1_1,62.78943909749662,193.73545020755444,45.72517669785152,19.05038104167107,0.31176118405771,72.25302,0.21025734270856944,193.73545020755444,
window_1_2,88.93378514072818,221.18296659957693,114.36114410207377,27.794069110566653,0.28724298061254655,-61.94195,0.2733884399182716,221.18296659957693,
window_1_3,94.87027924002173,232.58080661591086,91.79235092562742,27.08093282140372,0.24288799321103133,43.43588,0.2464671100407825,232.58080661591086,
window_1_4,106.73787986818641,259.2852157822083,114.41006501709016,31.880198780315446,0.35644131026561576,150.03634,0.36984788312484723,259.2852157822083,
window_1_5,56.68487512077827,160.90826981430382,41.4692452180005,19.452871148186418,0.18670171042418118,16.78515,0.18864796252242236,160.90826981430382,
window_1_6,63.400143019859655,188.58103411090755,78.0070122400576,19.62161514478879,0.21832678472764097,43.0369,0.22111385682117865,188.58103411090755,
window_1_7,80.14975601214108,218.8268827547556,53.7108076664042,23.497869955169605,0.26136113821262646,9.83776,0.220620716732627,218.8268827547556,
window_1_8,95.15704202328641,229.6935209411759,76.78831000722795,30.844790510320035,0.2553162009637758,-32.53278,0.3115331510662721,229.6935209411759,
window_1_9,97.30603933330423,247.8513441435815,80.92960933680288,28.742964261637272,0.29263480914719314,-18.97735,0.2862299168303743,247.8513441435815,
window_1_10,94.20569399575743,243.78267234329,95.39606797397155,26.197719840457168,0.30916066470674425,11.46958,0.3055893029483108,243.78267234329,
window_1_11,43.962729916324626,139.2494348487426,40.51318143361613,16.790459712072074,0.14088857666821344,6.19626,0.17560110387942535,139.2494348487426,
window_1_12,34.9200591824835,132.3909169575031,26.61791392404842,13.482458964873395,0.1472350517634074,-117.18923,0.16034347261595866,132.3909169575031,
window_1_13,60.49532396284499,171.7478986943044,76.10210124652218,18.644707563805106,0.22416383757735425,-42.50372,0.1739974799669873,171.7478986943044,
window_1_14,115.01732745112274,279.0356445671512,68.46812821266678,30.6665408854398,0.31645142088663114,-144.42615,0.29912437713675,279.0356445671512,
window_10_0,36.2539414123661,97.85584517989852,110.78653480399531,16.605701527068423,0.15885408193600492,148.01934,0.12840929111046961,97.85584517989852,
window_10_1,42.56629799065106,127.03849563374784,44.34745801417622,16.464708990946313,0.22294363686486846,51.34703,0.15047648260746266,127.03849563374784,
window_10_2,58.58079593221769,140.69617132884875,85.78408564950523,23.46796330295781,0.2159139383681722,-40.02929,0.19333045746999106,140.69617132884875,
window_10_3,62.29579463169881,146.98188386394588,81.1510180016147,22.61026958461834,0.17087757444781287,28.33491,0.17213732186075428,146.98188386394588,
window_10_4,69.61569199664461,165.98584609605447,74.95816183241601,27.294753135787303,0.26136443578461055,102.48676,0.26851632848938983,165.98584609605447,
window_10_5,37.62720731526587,101.19764539414341,49.986034522063385,16.44666418679448,0.13566219475871985,11.09228,0.13111244976725964,101.19764539414341,
window_10_6,41.63355699920685,119.40007819904596,37.63217768128974,16.74849170141439,0.14727547024187856,37.128,0.15408337383947127,119.40007819904596,
window_10_7,50.80562992626627,133.6607378828363,62.47106967875793,19.818580212405532,0.17965934991727756,6.32476,0.14910081864713703,133.6607378828363,
window_10_8,60.23001433300236,139.8654672068755,68.79629096943277,25.475099087682658,0.17002145572615396,-21.66778,0.2144607580609076,139.8654672068755,
window_10_9,64.51127326661809,160.50954943913132,70.95284593097504,24.553694530515486,0.2098243974946189,-12.99468,0.20495421048501658,160.50954943913132,
window_10_10,61.66375973864867,154.86523764058006,61.777137135366154,22.295780391698198,0.21775142658668536,7.31135,0.21819608724079192,154.86523764058006,
window_10_11,28.79064655222471,85.70046476999008,38.630038072662366,14.0299237437019,0.09777677507039967,4.12005,0.11999936185640192,85.70046476999008,
window_10_12,22.654788726032194,79.69981920490181,30.834964106180664,11.438446716190093,0.09787061097086774,-75.86483,0.10875343655871324,79.69981920490181,
window_10_13,39.569016352066456,106.45426434637925,43.651271725571235,15.297716018931474,0.14942084793639931,-27.96168,0.11840104958335602,106.45426434637925,
window_10_14,71.85015963795225,170.06536461643785,145.9130675114706,25.657746172158287,0.22117088077185001,-90.25033,0.20475411140057104,170.06536461643785,
window_30_0,16.966548853284262,40.18432831197798,57.05860940465634,11.247328514512557,0.07813065424222188,209.54052,0.06262817032926483,40.18432831197798,
window_30_1,18.674290193360843,48.68924006896768,33.955365753901496,11.342518557138112,0.1033942161933505,25.11501,0.07041589299518186,48.68924006896768,
