,Random Walk_RMSE,Random Walk_MASE,Mean Estimator_RMSE,Mean Estimator_MASE,Moving Avg Estimator: (h=60)_RMSE,Moving Avg Estimator: (h=60)_MASE,RMSE avg,RMSE std,MASE avg,MASE std
window_1_0,2124.8061574350913,5.439292053978708,384.0739383084711,1.0007359442377342,278.9897903395529,0.47466251473262117,929.2899620277052,1036.6797478727951,2.3048968376496877,2.727180474852646
window_1_1,2185.6476183635127,5.497552135851146,397.13270656005665,1.0005126138876892,328.53066384232307,0.4785859435045737,970.4369962552975,1052.962108591633,2.3255502310811367,2.759401914403324
window_1_2,2386.4685022866256,5.595255256731813,428.1860345945967,1.0002610252007595,375.5246781289636,0.5647591563321512,1063.3930716700618,1146.119431360495,2.3867584794215744,2.7871587947145477
window_1_3,2609.967959989559,5.114840170519709,474.33229429539995,1.000025187731057,384.617480219768,0.502252230601805,1156.3059115015756,1259.7071883484932,2.205705862950857,2.531647940338047
window_1_4,2339.6373892278957,6.138870849303749,414.94626132403204,1.0003843828426089,408.39587251355994,0.7034077835245165,1054.326507688496,1113.1166935910555,2.6142210052236248,3.0560458386068374
window_1_5,2290.391155028322,5.772839370066844,398.4263199690367,1.0005364917344974,316.4431015823089,0.5102078224201543,1001.7535255265558,1116.7455024087672,2.427861228073832,2.9071918802851937
window_1_6,2207.917177488473,5.807825199156703,390.7995453696025,1.0009167361949256,323.83662082551825,0.5286030335659733,974.1844478945313,1068.9683551767857,2.445781656305867,2.9211765859737953
window_1_7,2518.7064964513916,5.243292669132184,458.04915458227924,1.0007099557482746,346.2505320391012,0.4628660901103153,1107.668727690924,1223.2724233187091,2.2356229049969247,2.6185639315321634
window_1_8,2502.579911345999,6.181414332622044,425.0782246540707,1.0002119144388821,384.73539591268866,0.6189152074497785,1104.1311773042528,1211.2601009960395,2.6001804848369017,3.1072936293632867
window_1_9,2428.861112032641,5.375525720497388,442.14163474785175,1.0009742950041798,384.4768946858038,0.5462419152195539,1085.1598804887656,1164.0365352088402,2.307580643573707,2.6666290763005143
window_1_10,2365.576672430408,5.755633404576048,427.89829862004115,1.0009050441495,393.91323266756854,0.6168001094704295,1062.4627345726726,1128.6576972033056,2.457779519398659,2.862475211455271
window_1_11,2050.3655328883,6.130292371336832,352.16039412944167,1.0005358369931552,256.9420717050247,0.48730736547740483,886.4893329075888,1009.0701109895612,2.5393785246024643,3.120392212045637
window_1_12,1648.780127146636,5.790478060153299,295.82035259123063,1.0003656597574448,239.82138417821295,0.45850853317269996,728.1406213053598,797.7886912601497,2.4164507510278144,2.9345267929346095
window_1_13,2266.9249569044696,4.935071146138276,439.61060230944764,1.0003910859868548,327.64967040144154,0.42208360524654076,1011.3950765384529,1088.760888780156,2.119181945790557,2.4557145349258818
window_1_14,2706.038448733702,5.302549572411107,484.8558668478709,1.0006057196738685,427.96869006465954,0.5564215771917003,1206.2876685487443,1299.1336881628592,2.286525623092225,2.621378499045293
window_10_0,1981.6321683410642,5.296939327086202,365.8104061410227,1.0007695749919412,237.88574000646054,0.43828926467261636,861.7761048295157,971.9307497394533,2.2453327222502533,2.6576913247935736
window_10_1,1993.7690881263127,5.333090340996532,370.84566620742515,1.0005482346394927,284.5377448151444,0.45102787122927185,883.0508330496274,962.8777419507688,2.2615554822884323,2.6741798646771806
window_10_2,2205.6443632952764,5.537921535235669,394.531058016697,1.0003331058316405,322.6271532701525,0.5297929115092866,974.2675248607087,1067.0094805362714,2.3560158508588653,2.765636428893048
