,MAE,RMSE,MAPE,sMAPE,MASE,MASE1,MEAN_ASE
window_1_0,48.686329829072214,143.3322409636716,36.90777731899242,17.24343470310137,0.20471444270777742,152.77718,0.16522550997273563
window_1_1,56.984380034023985,179.3789988136303,41.46470795501468,16.612373935481347,0.28293799160423055,65.57303,0.19082458682405432
window_1_2,81.79337497488379,206.8387908791141,131.66939773970626,25.048177344010345,0.2641805112080595,-56.96869,0.2514419056070921
window_1_3,87.11337618627412,216.9359846728611,81.56821216331558,24.608404577237685,0.22302867972160215,39.88443,0.22630276132237948
window_1_4,98.53743088853783,242.15553754310685,97.8883982878243,28.967306714449066,0.3290566668505326,138.50936,0.34140608173850856
window_1_5,51.080663703570536,149.7045444269031,34.10662351474408,16.725039247717365,0.168243244123567,15.12567,0.16998454262920104
window_1_6,57.79092650143517,175.8254201563355,89.9467368279804,17.031375840653293,0.1990107051578334,39.22928,0.20150546648021223
window_1_7,73.84690334691581,205.98564796614224,48.320716223627294,21.1216930873032,0.24080810313763226,9.06413,0.20326215164537623
window_1_8,88.40867632178217,216.75378108927794,68.10442325222319,28.33718824889003,0.23720963673071913,-30.22562,0.2894335276173874
window_1_9,89.14563457295118,230.1022871704948,72.9305350792286,25.90385728461954,0.268093490787394,-17.38585,0.2622271127544761
window_1_10,86.26585385545923,226.61378420551983,138.02055036709606,23.49786365223014,0.2831039992195134,10.5029,0.2798359265024137
window_1_11,39.264128401982994,129.65609734306847,33.2844312788559,14.192068367591979,0.12583083842159712,5.53402,0.15684640291863272
window_1_12,31.407615773978765,124.45545999819979,21.820385519169538,11.529611475527728,0.13242537505682703,-105.40172,0.14422139836147096
window_1_13,55.2224450755826,160.7663829748829,72.9587942259612,16.605786552489747,0.20462532304397807,-38.79902,0.15883473675635423
window_1_14,106.7954785513281,262.5272722985631,63.85729130179251,28.273882379094907,0.29383034435569844,-134.10206,0.2777449051859225
window_10_0,29.63928540877504,82.39882892050287,53.18056737481367,13.506181028141846,0.12987060963374844,121.0127,0.1049850900327445
window_10_1,35.44702513719352,107.6032798800663,35.424620621365825,13.374104483849722,0.18565600188820797,42.75917,0.12531271458397347
window_10_2,49.33980393178625,119.43821949098346,73.88910983697293,19.854519098118793,0.18185398842227884,-33.71476,0.16283442763106643
window_10_3,52.59299451686453,124.94745259247233,64.25004811221962,19.345000059152955,0.14426276105989302,23.92165,0.14531695350893922
window_10_4,59.08614214742118,141.49396436978012,59.27795687163304,23.381248936637732,0.2218324024674547,86.98537,0.22788055660685122
window_10_5,30.72728675002932,84.82694635028419,33.939231943368654,13.076961776979504,0.11078502649858576,9.05823,0.10706010219109338
window_10_6,34.56961998162689,101.23578728498171,28.629574306636652,13.494461763513478,0.12228734237082202,30.82852,0.12790977220070712
window_10_7,42.8070166159966,114.91610953889735,51.0484921344551,16.68148696434249,0.1513745777444244,5.32902,0.12562401813938576
window_10_8,51.2393118725902,119.95717837360677,56.37607017241543,22.02987448785179,0.14464187816423393,-18.43337,0.18244895170992265
window_10_9,54.66241063344694,137.23058548927446,56.138415186384975,20.966806264624946,0.17779074564788427,-11.01079,0.17367039417976946
window_10_10,51.83979131214846,131.38168264036017,49.68068021327292,18.73238742235926,0.1830603349523196,6.14655,0.1834353374135993
window_10_11,23.18831222865736,71.89104619201173,30.209347324626325,10.93431767318298,0.07875052006667879,3.31833,0.09665649270031862
window_10_12,18.329333308103944,67.39190054979797,22.539779052824784,9.038077199140833,0.07918427628024927,-61.38004,0.08799282200061512
window_10_13,32.92649941187864,90.1503112465251,32.0481771041406,12.662348708679387,0.12433732033986541,-23.26771,0.09852659248193747
window_10_14,61.398474511379526,146.4571895631173,114.75299675864076,22.352330056132022,0.18899825350641095,-77.12206,0.17497014899905483
window_30_0,12.149976538295656,30.597574476465407,31.521197273028427,7.906194962893745,0.0559504248137611,150.05482,0.04485071862615182
window_30_1,13.855386666558001,37.78761553394782,27.843464902141,8.105673308762935,0.07671332241339356,18.63408,0.05224637390452756
window_30_2,18.92505808286289,42.08640952283631,50.39233289226358,11.079508077460083,0.07919474533454073,-12.38064,0.0673072208276163
window_30_3,20.02908055419573,43.77587174422329,21.535009030446986,10.809005508223951,0.058661756475021615,8.97843,0.059031323690324745
window_30_4,22.124785452629595,49.12312478357845,59.389710262575115,14.064637806127024,0.09051376155548192,35.54287,0.09623541500094615
window_30_5,12.858632096367181,31.946615589895984,15.573110530869076,7.968978808784656,0.05018934041068695,3.86655,0.04707805023002423
window_30_6,13.732842001343473,35.802805198582405,16.40696207975583,8.046594007016163,0.049435352514954435,15.28091,0.054028630967789024
window_30_7,15.93581792653281,39.28012060717776,28.386627903382,9.062231611987134,0.059877071396234716,2.22925,0.04931767152448114
window_30_8,19.709280335212366,42.35589441946908,31.910362157294536,12.324323851900832,0.05850436488248446,-7.03217,0.0758870653088949
window_30_9,19.79954223693495,45.14911689936907,27.72077027472247,11.418101260276627,0.06990626939846023,-4.20463,0.06841890779582413
window_30_10,19.93992822906433,46.22055989534759,32.94495462433505,11.049256610945402,0.07584338203236314,2.28017,0.07747076277106668
window_30_11,9.929273075899912,27.07531187477152,12.965635658703725,6.928819081948545,0.03565940948005072,1.47797,0.04309993455098969
window_30_12,7.9641024500829385,24.4678989147021,11.107722071563975,5.672538811595038,0.03535125855558095,-26.92823,0.039744521443540744
window_30_13,13.535834228796814,33.06478701950693,20.252049052342453,7.2951990643131674,0.05198853145701963,-9.67834,0.042072339747696676
window_30_14,22.592569759797257,49.30804873811949,36.14540220229414,12.345826352827794,0.07663859065562814,-28.40516,0.06986248050100581
window_45_0,8.45080051762455,19.953958691351243,10.482804152575191,6.383222528674228,0.03986272373061202,-200.91058,0.031798388603984595
window_45_1,9.362460662396435,24.458192000125834,14.465050696796501,6.307392727620949,0.053556740759076904,13.71489,0.03621684309912313
window_45_2,12.748283911467446,27.595352211301908,25.861061093911545,8.902101391020002,0.05572359596640599,-8.0648,0.04682775764181379
window_45_3,13.545290389693053,28.709695368881082,20.739342591848533,8.722367924154828,0.040663976655123744,6.01245,0.04104745224366657
window_45_4,14.7251581464539,31.780432440689218,35.95450470716646,11.02926180294356,0.06238740675506683,23.53749,0.06721380093700123
window_45_5,8.968800086704647,20.98944591420624,16.672234301904535,6.409154326585418,0.035964201136110596,2.95896,0.03360560784616099
window_45_6,9.645916146190388,23.61019865712716,11.542945709577914,6.439077977410654,0.03500428032889817,12.32827,0.03898175520540758
window_45_7,10.988337330666061,25.85357222529688,13.574474177426062,7.017215604270983,0.04250398839520793,1.69141,0.03474318959045359
window_45_8,13.143753928238363,27.57821563513659,86.71754686094114,9.832076929745284,0.04013817593460201,-4.60017,0.05255063756632965
window_45_9,13.381174812211466,29.972801198294654,26.734854350800127,8.812527406114622,0.048670496811407636,-2.99482,0.047534814749762934
window_45_10,13.63596476433214,30.46204578663882,17.345150753242713,9.178474611694854,0.053606595878844226,1.52723,0.055315197551113915
window_45_11,7.221517441105575,18.025720921731644,9.852557314837348,5.864333723468332,0.026501408096429035,1.10801,0.03196351988194692
window_45_12,5.921443836650507,16.461032440053216,10.27839964898931,4.740591990148352,0.026711672880092633,-20.23964,0.030108394112216042
window_45_13,9.36731354267792,22.210704722432126,14.593990260748061,5.660085405362085,0.03644911134952418,-6.75054,0.0296613030754201
window_45_14,15.001068781174625,31.709405812805755,20.316069859377386,9.385065857596107,0.05295758791462351,-18.87788,0.047833478103997955
