,MAE,RMSE,MAPE,sMAPE,MASE,MASE1,MEAN_ASE
window_10_11,113.80655752149266,208.6968340923313,160.2160346906544,56.648993768704976,0.3865018507358125,16.28613,0.4740197075977057
window_10_12,91.07082907016225,184.72931014717372,158.56952152193583,47.40715583484604,0.3934337146335114,-304.97187,0.4369685290027113
window_10_13,124.34586248638313,245.20243265599544,166.55529918416303,46.51365576849866,0.469555877881406,-87.86976,0.3720021358626303
window_10_14,168.76833249703262,301.8221602876381,216.10607451440683,57.997531531775415,0.5195067197185279,-211.98836,0.4809241330692542
window_30_0,104.39436769197161,178.897715680346,544.7900444069486,53.401877387492775,0.480734197479292,1289.29285,0.38523196680430793
window_30_1,103.49358730082024,197.92328969454704,248.084751721714,48.691636341196116,0.5730144615515685,139.18831,0.39014108307740936
window_30_2,125.54003108091084,225.99803109546352,296.96958661046045,56.41785102331156,0.5253410978825945,-82.12742,0.4463698910883622
window_30_3,138.71087564899975,236.88495907965572,150.82126464319106,54.62089024537537,0.40626046641237706,62.17988,0.4092361637608099
window_30_4,128.10595318810445,231.61961090949148,298.24645399295594,64.30331167940469,0.5240887748056184,205.79877,0.5576485445121819
window_30_5,113.583451102739,200.42565691154405,158.30675806172482,54.658985605887835,0.4433347536264405,34.15422,0.41628605936307195
window_30_6,111.76466843920629,198.28860183230694,155.5773836498379,54.9936023913907,0.402329378177412,124.3636,0.4404686381668642
window_30_7,115.56603943516026,208.21461219424745,170.06385936595004,50.21489462066378,0.4342265973507338,16.16642,0.35775033574849263
window_30_8,131.77248172726746,240.4981447893927,160.11114221759578,61.493009791766475,0.3911490029734515,-47.01575,0.5075975718516927
window_30_9,126.66651847288696,226.18975799258865,193.75859435190836,56.43000250590855,0.44722164069089265,-26.89893,0.43769100835162345
window_30_10,129.31885523459465,230.6435855602813,203.65133851598415,58.95573489624244,0.49187636128244283,14.78786,0.5024368640125632
window_30_11,102.98788198075803,182.65009172536077,170.03211683118937,55.47632720338096,0.36986464436643984,15.32967,0.4466864195363065
window_30_12,82.47412207202086,159.5589379304812,129.32149190947487,46.51099378228907,0.3660882104149969,-278.86162,0.411369780534842
window_30_13,109.76380468088054,211.60681588226643,177.99608505283706,44.97211733751089,0.42158162666870647,-78.4829,0.3411042891399031
window_30_14,137.84374280368056,240.68014551231877,172.1118358274427,54.766351654280435,0.4675940050861112,-173.308,0.4262645210359806
window_45_0,96.65379146761931,162.95719832208678,146.4115515685373,52.31466379016803,0.45591933909154764,-2297.86153,0.3635662520485799
window_45_1,95.79731378498197,178.43321613108685,153.39247168561013,47.828352990502175,0.5479960968386046,140.3317,0.37046764131852344
window_45_2,114.33071479175152,203.17057813250818,235.6281602266139,55.01994083393452,0.4997471504282341,-72.3277,0.4198301501837402
window_45_3,126.63193801599081,214.23941479534105,295.822448121551,52.98910403980986,0.3801585660499093,56.20909,0.3841692177363851
window_45_4,114.16517886336042,204.20748471224383,310.4396131963817,62.19903146979299,0.48369391894977043,182.48777,0.521702855801459
window_45_5,105.23652725022241,182.45001672254932,300.0233154025076,53.60399621624107,0.4219904107912154,34.7193,0.3947654875650493
window_45_6,103.05949804475685,179.5466667548867,144.53554515797492,53.62909341650234,0.37399491198552226,131.7185,0.41715968321343744
window_45_7,106.43778381348359,188.47585566986493,150.5922171530728,48.95726838512085,0.41171199899318445,16.38376,0.3366531823960876
window_45_8,119.97793643593289,218.2950841345648,284.4852555301266,59.805036129031066,0.3663866158198392,-41.99099,0.479984494802735
window_45_9,115.29312402948715,204.00878298210503,198.90609208042548,54.68522095266275,0.4193483535043217,-25.80361,0.40948462017145365
window_45_10,116.59732761294173,205.00150023169815,144.44729389074269,57.41197874825619,0.4583750346913061,13.05889,0.47297948930387435
window_45_11,96.66063321050129,169.02420837549693,160.27005374888998,54.50112791999005,0.3547236309351851,14.83085,0.42750101065734203
window_45_12,77.98529822381872,146.7245361629814,151.71081300492972,45.92200094839935,0.35179220356997254,-266.55561,0.3963227989408691
window_45_13,101.8932304799843,194.28785777155767,118.7845169154198,43.90372346013608,0.39647628817023106,-73.42919,0.3225829730015498
window_45_14,124.56220779859386,215.7049464447776,152.69819280842322,52.7807492372581,0.43973627256558123,-156.75349,0.39721340657094056
