,LGBMRegressor_RMSE_0,LGBMRegressor_RMSE_1,LGBMRegressor_RMSE_2,LGBMRegressor_RMSE_3,LGBMRegressor_RMSE_4,LGBMRegressor_RMSE_5,LGBMRegressor_RMSE_6,LGBMRegressor_RMSE_7,LGBMRegressor_RMSE_8,LGBMRegressor_RMSE_9,average
window_1_10,99.08320021177023,59.00309206203887,74.74713196835881,68.56758129937968,110.99921819941258,107.08195486264778,49.556286649207216,78.360637503618,98.44015675571826,48.64493274541788,79.44841922575694
window_1_11,87.58680595693056,44.49421659201242,38.22462718161142,45.51346633470774,29.97979453881749,29.720815026500173,64.55124550761646,76.86831685561414,73.6000818884286,36.25018979997474,52.67895596822138
window_1_12,102.94574692159418,71.24365571054128,7.376846352509738,14.9095009706989,41.10967950273216,47.082087957081896,49.50319886900268,14.129663247563878,60.545884069563975,93.62371522360479,50.24699788248935
window_1_13,100.57967275727265,87.28924361171086,78.72287392902993,56.75256103583179,74.0527830604709,62.13143472640488,51.21359333013829,69.25098808599617,53.26775596909195,54.96197173626838,68.82228782422158
window_1_14,118.56279424535634,112.28485929558492,95.32247123793847,62.428246578205005,75.3176992802258,52.22508984980873,88.61915402364144,55.07730270423233,51.88372785339097,51.342302706847875,76.30636477752319
window_10_0,26.581866857435546,29.95794436945258,16.391142683813698,19.132116076184705,14.935586289905679,10.688444213892135,16.851035890413733,21.605126741004106,16.02290866615904,17.367141554384148,18.953331334264533
window_10_1,32.99479734639277,16.62489292959041,10.367658166060583,14.684162806910422,21.998679225001595,26.949417088202562,20.26032146462625,21.275096709576747,19.107535331462582,29.06905608986593,21.333161715768988
window_10_2,26.925968713153292,23.467638595765234,17.0663608287154,15.525425752006461,20.022013856458877,19.251941101639616,20.832658163354402,11.099950961623469,16.096870280516924,15.400717046805108,18.56895453000388
window_10_3,33.5462339954599,26.644189161304755,23.318579695828436,16.765520232099945,17.804436669424337,16.19015023038209,22.944363304881527,14.204436530663257,19.69596088713259,22.958559927075438,21.40724306342523
window_10_4,44.86467588851879,29.812269290334957,30.457392859598183,27.36377048710304,16.84063513029163,14.603546253853098,16.43528082042924,18.025278606988522,19.37711309479526,18.516338787211673,23.629630121912438
